Plant Leaf Disease,Recommended Fertilizer
Apple___Apple_scab,"To combat apple scab, it's recommended to use a balanced fertilizer with a higher concentration of potassium and phosphorus, along with micronutrients like zinc and boron to promote healthy growth and enhance disease resistance."
Apple___Black_rot,"For black rot in apples, consider using organic fertilizers rich in nitrogen and potassium, supplemented with calcium to strengthen cell walls and improve plant resilience."
Apple___Cedar_apple_rust,"To manage cedar apple rust, apply fertilizers with a balanced NPK ratio and higher potassium for disease resistance."
Apple___healthy,Your apple plant is healthy and thriving.
Blueberry___healthy,Your blueberry plant is healthy and thriving.
Cherry_(including_sour)___Powdery_mildew,"To combat powdery mildew in cherries, it's advisable to use fertilizers with a balanced NPK ratio and higher potassium to strengthen the plant's defenses."
Cherry_(including_sour)___healthy,Your cherry plant is healthy and thriving.
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,"For corn affected by cercospora leaf spot or gray leaf spot, fertilizers with balanced NPK ratio and higher potassium are recommended to support the plant's ability to resist infections."
Corn_(maize)___Common_rust_,"Corn plants affected by common rust can benefit from fertilizers with a balanced NPK ratio and higher potassium, which help in bolstering the plant's immune system against the disease."
Corn_(maize)___Northern_Leaf_Blight,"To manage northern leaf blight in corn, it's recommended to use fertilizers with a balanced NPK ratio and higher potassium to enhance disease resistance."
Corn_(maize)___healthy,Your corn plant is healthy and thriving.
Grape___Black_rot,"For black rot in grapes, organic fertilizers rich in nitrogen and potassium, supplemented with calcium, are recommended to manage the disease and strengthen cell walls."
Grape___Esca_(Black_Measles),"For esca (black measles) in grapes, a balanced fertilizer with a higher concentration of potassium and phosphorus, along with micronutrients like zinc and boron, is recommended to support plant health."
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),"To control leaf blight in grapes, use a balanced fertilizer with a higher concentration of potassium and phosphorus, along with micronutrients like zinc and boron."
Grape___healthy,Your grape plant is healthy and thriving.
Orange___Haunglongbing_(Citrus_greening),"To combat citrus greening (huanglongbing), apply a balanced fertilizer with a higher concentration of potassium and phosphorus, along with micronutrients like zinc and boron, to support plant health."
Peach___Bacterial_spot,"To manage bacterial spot in peaches, consider using fertilizers with a balanced NPK ratio and higher potassium to enhance disease resistance."
Peach___healthy,Your peach plant is healthy and thriving.
Pepper_bell___Bacterial_spot,"For bacterial spot in bell peppers, fertilizers with balanced NPK ratio and higher potassium are recommended to bolster the plant's immune system."
Pepper_bell___healthy,Your bell pepper plant is healthy and thriving.
Potato___Early_blight,"Organic fertilizers rich in nitrogen and potassium, supplemented with calcium, are effective against early blight in potatoes, strengthening cell walls and plant resilience."
Potato___Late_blight,"Late blight in potatoes can be managed with organic fertilizers rich in nitrogen and potassium, supplemented with calcium to strengthen cell walls and improve plant resistance."
Potato___healthy,Your potato plant is healthy and thriving.
Raspberry___healthy,Your raspberry plant is healthy and thriving.
Soybean___healthy,Your soybean plant is healthy and thriving.
Squash___Powdery_mildew,"For squash affected by powdery mildew, fertilizers with balanced NPK ratio and higher potassium are recommended to enhance disease resistance."
Strawberry___Leaf_scorch,"To combat leaf scorch in strawberries, it's advisable to use fertilizers with a balanced NPK ratio and higher potassium to strengthen the plant's defenses."
Strawberry___healthy,Your strawberry plant is healthy and thriving.
Tomato___Bacterial_spot,"To control bacterial spot in tomatoes, apply fertilizers with balanced NPK ratio and higher potassium to bolster the plant's defenses against the disease."
Tomato___Early_blight,"For early blight in tomatoes, fertilizers with balanced NPK ratio and higher potassium are recommended to support the plant's ability to resist infections."
Tomato___Late_blight,"Late blight in tomatoes can be managed effectively with fertilizers with balanced NPK ratio and higher potassium to enhance disease resistance."
Tomato___Leaf_Mold,"Fertilizers with balanced NPK ratio and higher potassium are recommended to combat leaf mold in tomatoes and improve plant resilience."
Tomato___Septoria_leaf_spot,"To control septoria leaf spot in tomatoes, use fertilizers with balanced NPK ratio and higher potassium to enhance disease resistance."
Tomato___Spider_mites Two-spotted_spider_mite,"Fertilizers with balanced NPK ratio and higher potassium are recommended to manage spider mites in tomatoes and bolster the plant's immune system."
Tomato___Target_Spot,"For target spot in tomatoes, consider using fertilizers with balanced NPK ratio and higher potassium to enhance disease resistance."
Tomato___Tomato_Yellow_Leaf_Curl_Virus,"To combat tomato yellow leaf curl virus, apply fertilizers with balanced NPK ratio and higher potassium to bolster the plant's defenses against the disease."
Tomato___Tomato_mosaic_virus,"Fertilizers with balanced NPK ratio and higher potassium are recommended to manage tomato mosaic virus and support plant health."
